frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.0000
2,hallway,trial_x_0.32.mp4,0.3014,VLM_TRIGGERED,PENDING...,0,0.0000
2,hallway,trial_x_0.32.mp4,N/A,VLM_RESPONSE_RECEIVED,"The image shows a section of an indoor space; likely a hallway or corridor within a building. The most prominent feature is the dark circular area that obscures part of the floor; which could be interpreted as a shadow cast by an object or a reflection on the floor. This area is central to the image and stands out due to its contrast with the surrounding lighter areas.

The floor itself appears to be carpeted in a patterned design; predominantly blue with some white elements. The carpet's texture seems smooth; and there are no visible signs of wear or damage. The walls are not fully visible; but they appear to be painted in a neutral color; possibly gray or black; which complements the flooring.

On either side of the central dark area; there are two orange traffic cones placed on the floor. These cones are cylindrical with a flat top and a narrower base; typical of construction or roadwork cones used to mark hazards or areas of caution. Their bright color makes them easily noticeable against the muted tones of the carpet and walls.

There is no evidence of any other obstacles or hazards in the visible portion of the image. The focus remains on the floor; path; and traffic cones; with the central dark area being the most notable feature due to its contrasting color and potential significance as a visual element within the context of the room's use.",10192.5,0.5000
3,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.3333
4,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2500
5,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2000
6,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1667
7,hallway,trial_x_0.32.mp4,0.3117,VLM_TRIGGERED,PENDING...,0,0.1429
7,hallway,trial_x_0.32.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows two orange traffic cones placed on what appears to be an office or commercial space; as indicated by the tiled flooring and the presence of a metallic door in the background. The cones are positioned at different angles; with one closer to the foreground and the other slightly behind it. There is no visible debris or obstructions on the floor that would pose an immediate hazard. However; the black blurry circle in the center could be interpreted as a simulated representation of a hazardous area due to its central placement and distinct color contrast with the surrounding environment. It's important to note that this is not a real-world scenario but rather a digital simulation or artistic rendering. In a real-world setting; such a feature would typically indicate an area where caution should be exercised; possibly due to construction work; maintenance activities; or other hazards associated with the space.,7074.9,0.2857
8,hallway,trial_x_0.32.mp4,0.3376,VLM_TRIGGERED,PENDING...,0,0.2500
8,hallway,trial_x_0.32.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows two orange traffic cones placed on what appears to be an industrial or commercial floor. The cones are positioned at a distance from each other; with one slightly ahead of the other. There is no visible debris or obstacles in the immediate vicinity of the cones that would pose a hazard. However; the black blurry circle in the center could be interpreted as an artistic representation rather than a real-world object. It does not correspond to any physical obstacle or hazard within the context of this image. The floor itself is covered with a patterned carpet; and there are no other discernible features that would indicate additional hazards in the visible area.,5970.7,0.3750
9,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.3333
10,hallway,trial_x_0.32.mp4,0.2843,VLM_TRIGGERED,PENDING...,0,0.3000
10,hallway,trial_x_0.32.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows two orange traffic cones placed on what appears to be an industrial or commercial floor. The cones are positioned at a distance from each other; with one slightly ahead of the other. There is no visible debris or obstacles in the immediate vicinity of the cones that would pose a hazard. However; the black blurry circle in the center could be interpreted as an artistic representation rather than a real-world object. It does not correspond to any physical obstacle or hazard within the context of this image. The floor itself is covered with a dark carpet that has a textured pattern; and there are no other discernible features such as stairs; railings; or equipment that would indicate a specific type of room or setting.,6353.2,0.4000
11,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.3636
12,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.3333
13,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.3077
14,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2857
15,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2667
16,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2500
17,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2353
18,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2222
19,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2105
20,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2000
21,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1905
22,hallway,trial_x_0.32.mp4,0.3091,VLM_TRIGGERED,PENDING...,0,0.1818
22,hallway,trial_x_0.32.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows two orange traffic cones placed on what appears to be an industrial or commercial floor. The cones are positioned at a distance from each other; with one slightly in front of the other. They are standing upright; indicating that they are not currently being used for any specific purpose. There is no visible debris or obstructions on the floor between the cones; and the pathway appears clear. The lighting in the room is artificial; likely from overhead fluorescent lights; which casts a uniform glow over the scene without creating harsh shadows. The walls are not fully visible; but they seem to be made of metal or a similar material; given their reflective quality and the way they catch the light. There is no evidence of any other hazards in the immediate vicinity of the cones; however; it's important to note that this image does not provide enough context to determine if there are any potential hazards outside the frame or beyond what is visible.,7945.3,0.2273
23,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2174
24,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2083
25,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.2000
26,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1923
27,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1852
28,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1786
29,hallway,trial_x_0.32.mp4,0.0000,YOLO_ONLY,N/A,0,0.1724
30,hallway,trial_x_0.32.mp4,0.4053,YOLO_ONLY,N/A,0,0.1667
