frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1,person,0.263,29.48,0,[FAST MODE - HIGH CONF],2252.81,left
2,bench,0.261,28.8,0,[FAST MODE - HIGH CONF],291.18,left
3,person,0.289,30.83,0,[FAST MODE - HIGH CONF],235.18,left
4,person,0.278,30.19,0,[FAST MODE - HIGH CONF],213.34,left
5,person,0.26,30.15,0,[FAST MODE - HIGH CONF],211.97,left
6,person,0.256,28.81,1,"1. the obstacle in the image is a brown cat sitting on top of a blue chair with its head hanging over the backrest.
2. the cat is located on the left side of the view.
3. to navigate around this obstacle, move to the right until you are clear of the cat and the chair.",9633.9,left
7,person,0.252,30.57,1,"1. the obstacle in the image is a person walking through an open doorway.
2. it is located on the left side of the view.
3. to move past this obstacle, you should continue moving straight ahead.",5147.28,left
8,person,0.268,28.46,0,[FAST MODE - HIGH CONF],180.26,left
9,person,0.253,28.98,1,"1) the object in the foreground is likely a bag.
2) it is located on the left side of the view.
3) to navigate, one would need to move towards the right side of the image where the people are standing.",5172.06,left
10,person,0.268,29.48,0,[FAST MODE - HIGH CONF],171.2,left
11,person,0.321,30.04,0,[FAST MODE - HIGH CONF],240.25,left
12,person,0.312,29.89,0,[FAST MODE - HIGH CONF],141.2,left
13,person,0.299,29.1,0,[FAST MODE - HIGH CONF],164.23,left
14,person,0.277,28.82,0,[FAST MODE - HIGH CONF],212.84,left
15,person,0.266,28.27,0,[FAST MODE - HIGH CONF],220.97,left
16,person,0.254,27.87,1,"1. the obstacle in the image is a dog standing on top of a blue chair with its front legs extended, which might hinder people's movement.
2. it is located in the center of the view.
3. to navigate around this obstacle, you should either move left or right from the dog to avoid bumping into it.",6219.88,left
17,person,0.314,28.76,0,[FAST MODE - HIGH CONF],178.76,left
18,potted plant,0.29,19.39,0,[FAST MODE - HIGH CONF],176.64,left
19,potted plant,0.31,22.34,0,[FAST MODE - HIGH CONF],220.1,left
20,potted plant,0.356,20.7,0,[FAST MODE - HIGH CONF],198.72,left
21,bench,0.266,26.39,0,[FAST MODE - HIGH CONF],182.63,left
22,person,0.272,26.48,0,[FAST MODE - HIGH CONF],201.77,left
23,bench,0.286,24.09,0,[FAST MODE - HIGH CONF],203.16,left
24,person,0.262,26.83,0,[FAST MODE - HIGH CONF],200.72,left
25,person,0.32,27.6,0,[FAST MODE - HIGH CONF],209.94,left
26,person,0.306,28.17,0,[FAST MODE - HIGH CONF],204.08,left
27,person,0.254,27.88,1,"1. the obstacle in the image is a person standing between two blue chairs.
2. the person is located in the center of the view, with one chair on each side of them.
3. to navigate around the obstacle, it would be best to move left or right to avoid coming into contact with the person.",5988.33,left
28,person,0.31,27.59,0,[FAST MODE - HIGH CONF],141.97,left
29,person,0.309,26.69,0,[FAST MODE - HIGH CONF],125.96,left
30,person,0.259,26.91,1,"1. the obstacle in the image is likely a chair that the person cannot see behind.
2. the chair is on the left side of the view.
3. to avoid hitting the chair, move right or to your left.",5118.75,left
31,person,0.26,26.82,1,"1. the obstacle in the image is likely a blue chair.
2. the blue chair is located on the right side of the view, with the person standing behind it.
3. if you are currently facing the person, to avoid the chair, you should move your body towards the left side of the image where there seems to be more space.",6102.62,left
32,person,0.254,27.62,1,"1. the obstacle in the image is a brown cat on the ground.
2. the cat is located between two blue chairs, in the center of the view.
3. to navigate around this obstacle, one should either move left or right to avoid bumping into the cat.",5695.02,left
33,bench,0.275,3.94,0,[FAST MODE - TOO CLOSE],127.11,right
