frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
2,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
3,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
4,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
5,RP,trial_x_0.5.mp4,0.3177,person,VLM_TRIGGERED,PENDING...,0,0.0000
5,RP,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too blurred to identify any obstacles or hazards.,3043.2,0.2000
6,RP,trial_x_0.5.mp4,0.2779,person,VLM_TRIGGERED,PENDING...,0,0.1667
6,RP,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and unclear to provide a detailed description or answer.,2977.7,0.3333
7,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2857
8,RP,trial_x_0.5.mp4,0.2935,tv,VLM_TRIGGERED,PENDING...,0,0.2500
8,RP,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and unclear to provide a detailed description or answer.,2937.7,0.3750
9,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
10,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3000
11,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2727
12,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2500
13,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2308
14,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2143
15,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2000
16,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1875
17,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1765
18,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1667
19,RP,trial_x_0.5.mp4,0.3668,chair,VLM_TRIGGERED,PENDING...,0,0.1579
19,RP,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a clear floor and a path. There are no visible obstacles or hazards in the room. The white haze in the corner is a camera defect simulating Retinitis Pigmentosa and should be ignored.,3798.3,0.2105
20,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2000
21,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1905
22,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1818
23,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1739
24,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1667
25,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1600
26,RP,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1538
