frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,computer_room,trial_x_0.5.mp4,0.2781,VLM_TRIGGERED,PENDING...,0,0.0000
1,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image provided does not allow for an accurate description or identification of obstacles and hazards within the room due to its low resolution and lack of visible details. To identify obstacles and hazards; a clearer image would be necessary where the floor and any potential hazards are discernible. In this case; it is recommended to obtain a higher-resolution image or additional information about the environment in question to ensure safety and avoid accidents.,6226.3,1.0000
2,computer_room,trial_x_0.5.mp4,0.5245,YOLO_ONLY,N/A,0,0.5000
3,computer_room,trial_x_0.5.mp4,0.4852,VLM_TRIGGERED,PENDING...,0,0.3333
3,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The clear area of the image shows a section of an office environment with a focus on the flooring. The floor appears to be carpeted; with a pattern that suggests a standard office setting. There is no visible debris or obstacles in the immediate vicinity of the cone; which is likely used as a marker for safety purposes. The cone's position and color are consistent with those used in construction zones or areas where caution is advised. No other hazards such as tripping hazards or sharp objects are immediately apparent from this angle. It's important to note that the image does not provide enough context to determine if there are any obstacles outside of the frame; and thus; a complete assessment cannot be made based solely on this image.,6411.6,0.6667
4,computer_room,trial_x_0.5.mp4,0.5431,YOLO_ONLY,N/A,0,0.5000
5,computer_room,trial_x_0.5.mp4,0.6453,YOLO_ONLY,N/A,0,0.4000
6,computer_room,trial_x_0.5.mp4,0.5513,YOLO_ONLY,N/A,0,0.3333
7,computer_room,trial_x_0.5.mp4,0.5084,YOLO_ONLY,N/A,0,0.2857
8,computer_room,trial_x_0.5.mp4,0.5120,YOLO_ONLY,N/A,0,0.2500
9,computer_room,trial_x_0.5.mp4,0.6159,YOLO_ONLY,N/A,0,0.2222
10,computer_room,trial_x_0.5.mp4,0.5055,YOLO_ONLY,N/A,0,0.2000
11,computer_room,trial_x_0.5.mp4,0.5239,YOLO_ONLY,N/A,0,0.1818
12,computer_room,trial_x_0.5.mp4,0.5513,YOLO_ONLY,N/A,0,0.1667
13,computer_room,trial_x_0.5.mp4,0.5047,YOLO_ONLY,N/A,0,0.1538
14,computer_room,trial_x_0.5.mp4,0.5367,YOLO_ONLY,N/A,0,0.1429
15,computer_room,trial_x_0.5.mp4,0.4766,VLM_TRIGGERED,PENDING...,0,0.1333
15,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an orange traffic cone placed on a gray carpeted floor; which is likely used for safety or training purposes in an office setting. The cone is positioned centrally within the frame; with its base slightly off-center to the left. There are no other objects or hazards immediately visible around the cone that would pose a risk of tripping or falling. The floor appears to be clean and well-maintained; without any visible debris or obstructions. The path leading up to the cone is clear; suggesting that there is enough space for movement around it. There are no signs of slippery surfaces or other potential hazards in the immediate vicinity of the cone.,6112.1,0.2000
16,computer_room,trial_x_0.5.mp4,0.5186,YOLO_ONLY,N/A,0,0.1875
17,computer_room,trial_x_0.5.mp4,0.4881,VLM_TRIGGERED,PENDING...,0,0.1765
17,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an orange traffic cone placed on a gray carpeted floor; which is likely used for safety or training purposes in an office setting. The cone is positioned centrally and appears to be stationary. There are no other objects or hazards immediately visible in the frame of the image. The focus should be on the clear areas of the image; such as the floor and path; which do not show any obstructions or hazards.,4732.9,0.2353
18,computer_room,trial_x_0.5.mp4,0.6014,YOLO_ONLY,N/A,0,0.2222
19,computer_room,trial_x_0.5.mp4,0.5176,YOLO_ONLY,N/A,0,0.2105
20,computer_room,trial_x_0.5.mp4,0.4867,VLM_TRIGGERED,PENDING...,0,0.2000
20,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The clear area of the image shows an orange traffic cone placed on a gray carpeted floor. The cone's position suggests it is meant to be a visual cue or obstacle for someone navigating through the room; possibly indicating a restricted area or a cautionary point. There are no other discernible objects or hazards in this section of the image.,4303.8,0.2500
21,computer_room,trial_x_0.5.mp4,0.4342,VLM_TRIGGERED,PENDING...,0,0.2381
21,computer_room,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The clear area of the image shows an orange traffic cone placed on a gray carpeted floor. The cone's position suggests it is meant to be a hazard or obstacle; likely for safety purposes in an office setting. There are no other visible obstacles or hazards within this frame. The focus should be on the cone and its immediate surroundings; which include the edges of the carpet and the flooring material itself.,4671.9,0.2857
22,computer_room,trial_x_0.5.mp4,0.5417,YOLO_ONLY,N/A,0,0.2727
23,computer_room,trial_x_0.5.mp4,0.4941,VLM_TRIGGERED,PENDING...,0,0.2609
