frame_idx,source_env,source_file,moondream_detections,detected_classes,pseudo_conf,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
2,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
3,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
4,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
5,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
6,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
7,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
8,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
9,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
10,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
11,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
12,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
13,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
14,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
15,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
16,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
17,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
18,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
19,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
20,custom,trial_x_0.1_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0000
20,custom,trial_x_0.1_raw.mp4,,VLM_RESPONSE_RECEIVED,,The image shows a potential hazard due to the low visibility; which could be caused by a low-quality camera or a dark room. The obstruction in the foreground could be a tripping hazard; and the lack of clear navigation cues makes it difficult to determine the layout of the room. It is recommended to use caution and possibly seek assistance from a sighted person or a guide dog to navigate safely.,5063.1,0.0500
21,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0476
22,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0455
23,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0435
24,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0417
25,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0400
26,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0385
27,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0370
28,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0357
29,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0345
30,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0333
31,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0323
32,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0312
33,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0303
34,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0294
35,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0286
36,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0278
37,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0270
38,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0263
39,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0256
40,custom,trial_x_0.1_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0250
40,custom,trial_x_0.1_raw.mp4,,VLM_RESPONSE_RECEIVED,,The image shows a potential hazard due to the low visibility; which could be caused by a low-quality camera or a dark room. The obstruction in the center of the image could be a tripping hazard or an object that needs to be moved. The navigation guidance would be to move away from the obstruction and to the right to avoid it.,4549.3,0.0500
41,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0488
42,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0476
43,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0465
44,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0455
45,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0444
46,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0435
47,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0426
48,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0417
49,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0408
50,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0400
51,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0392
52,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0385
53,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0377
54,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0370
55,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0364
56,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0357
57,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0351
58,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0345
59,custom,trial_x_0.1_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0339
60,custom,trial_x_0.1_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0333
60,custom,trial_x_0.1_raw.mp4,,VLM_RESPONSE_RECEIVED,,The image shows a potential hazard due to the low visibility; which could be caused by a low-quality camera or a dark room. The obstruction in the foreground could be a tripping hazard; and the lack of clear navigation cues makes it difficult to determine the layout of the room. It is recommended to use caution and possibly seek assistance from a sighted person or a guide dog to navigate safely.,4574.9,0.0500
