frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
2,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
3,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
4,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
5,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
6,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
7,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
8,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
9,glaucoma,trial_x_0.5.mp4,0.3015,car,VLM_TRIGGERED,PENDING...,0,0.0000
9,glaucoma,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with two orange traffic cones placed on the floor; which are the primary obstacles. There are also several white cables running across the floor; creating a hazardous path. The cables are tangled and spread out; which could pose a risk of tripping or entanglement. The room appears to be an indoor space; possibly a workshop or a storage area; given the presence of the cones and cables. The dark black edge is a camera defect simulating Glaucoma; and it does not affect the description of the actual floor and path.,5408.4,0.1111
10,glaucoma,trial_x_0.5.mp4,0.3282,car,VLM_TRIGGERED,PENDING...,0,0.1000
10,glaucoma,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with two orange traffic cones placed on the floor; which are the primary obstacles. There are also several white cables running across the floor; which could be a hazard if not properly managed. The dark black edge of the image is a camera defect simulating Glaucoma; and it should be ignored. The floor appears to be a carpeted area; and the path is clear except for the cones and cables.,4752.5,0.2000
11,glaucoma,trial_x_0.5.mp4,0.3265,car,VLM_TRIGGERED,PENDING...,0,0.1818
11,glaucoma,trial_x_0.5.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with two orange traffic cones placed on the floor; which are the primary obstacles. There is also a white cord or wire running across the floor; which could be a hazard if not properly managed. The dark black edge of the image is a camera defect simulating Glaucoma; and it should be ignored. The floor appears to be a smooth; possibly carpeted surface; and there are no other visible hazards in the immediate vicinity of the cones and cord.,5083.9,0.2727
12,glaucoma,trial_x_0.5.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2500
