frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,robot_room_first_trial,trial_x_0.44.mp4,0.3824,YOLO_ONLY,N/A,0,0.0000
2,robot_room_first_trial,trial_x_0.44.mp4,0.0000,YOLO_ONLY,N/A,0,0.0000
3,robot_room_first_trial,trial_x_0.44.mp4,0.2710,VLM_TRIGGERED,PENDING...,0,0.0000
3,robot_room_first_trial,trial_x_0.44.mp4,N/A,VLM_RESPONSE_RECEIVED,The obstacles in the room are two orange traffic cones; which are placed on the floor. The path appears to be a straight line leading towards these cones. There is no visible debris or other hazards in the immediate vicinity of the cones.,3941.6,0.3333
4,robot_room_first_trial,trial_x_0.44.mp4,0.2615,VLM_TRIGGERED,PENDING...,0,0.2500
4,robot_room_first_trial,trial_x_0.44.mp4,N/A,VLM_RESPONSE_RECEIVED,The obstacles in the room are two orange traffic cones; which are placed on the floor. The path appears to be a straight line leading towards these cones. There is no visible debris or other hazards in the immediate vicinity of the cones.,3865.9,0.5000
5,robot_room_first_trial,trial_x_0.44.mp4,0.6811,YOLO_ONLY,N/A,0,0.4000
6,robot_room_first_trial,trial_x_0.44.mp4,0.0000,YOLO_ONLY,N/A,0,0.3333
7,robot_room_first_trial,trial_x_0.44.mp4,0.5594,YOLO_ONLY,N/A,0,0.2857
8,robot_room_first_trial,trial_x_0.44.mp4,0.4302,YOLO_ONLY,N/A,0,0.2500
9,robot_room_first_trial,trial_x_0.44.mp4,0.6503,YOLO_ONLY,N/A,0,0.2222
10,robot_room_first_trial,trial_x_0.44.mp4,0.3043,VLM_TRIGGERED,PENDING...,0,0.2000
10,robot_room_first_trial,trial_x_0.44.mp4,N/A,VLM_RESPONSE_RECEIVED,The obstacles in the room include an orange traffic cone with a blue border; which appears to be placed on the floor; and a black object that resembles a piece of furniture or equipment. The clear areas of the image show a tiled floor with a darker color; possibly indicating a high-traffic area or a space where people might gather. There is no visible path leading to any specific destination within this frame.,4601.3,0.3000
11,robot_room_first_trial,trial_x_0.44.mp4,0.3492,YOLO_ONLY,N/A,0,0.2727
12,robot_room_first_trial,trial_x_0.44.mp4,0.0000,YOLO_ONLY,N/A,0,0.2500
