frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.58_raw.mp4,0.5036,chair,YOLO_ONLY,N/A,0,0.0000
2,custom,trial_x_0.58_raw.mp4,0.4909,airplane;car;chair,YOLO_ONLY,N/A,0,0.0000
3,custom,trial_x_0.58_raw.mp4,0.4336,airplane;chair;car,YOLO_ONLY,N/A,0,0.0000
4,custom,trial_x_0.58_raw.mp4,0.4102,chair,YOLO_ONLY,N/A,0,0.0000
5,custom,trial_x_0.58_raw.mp4,0.4335,chair;tv;chair,YOLO_ONLY,N/A,0,0.0000
6,custom,trial_x_0.58_raw.mp4,0.2522,chair,VLM_TRIGGERED,PENDING...,0,0.0000
6,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The room contains a few obstacles and hazards; including a tripod standing on the floor; which could be a tripping hazard if not properly secured. Additionally; there is a whiteboard with writing on it; which could be a potential distraction or hazard if not properly maintained. The orange and white traffic cone on the floor could also be a tripping hazard; especially if it is not placed in a safe location. The overall condition of the room suggests that it may need some cleaning and organization to improve safety and functionality.,5179.5,0.1667
7,custom,trial_x_0.58_raw.mp4,0.3134,chair,VLM_TRIGGERED,PENDING...,0,0.1429
7,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a whiteboard on the wall; which is the most prominent feature. There is a black circular object in the center that appears to be a camera artifact simulating AMD; which is a common issue in digital photography. The floor is not clearly visible due to the angle and focus of the image; but there are no immediate obstacles or hazards that can be identified from the visible parts of the room. The room seems to be a typical classroom or office setting; with no other objects or people in sight.,5078.1,0.2857
8,custom,trial_x_0.58_raw.mp4,0.2868,tv,VLM_TRIGGERED,PENDING...,0,0.2500
8,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a whiteboard on the wall; which is the most prominent feature. There is a black circular object in the center that appears to be a camera artifact simulating AMD; which is not an actual obstacle or hazard. The floor is not clearly visible due to the angle and focus of the image; but there are no immediate obstacles or hazards that can be identified from the visible parts of the room.,4574.2,0.3750
9,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
10,custom,trial_x_0.58_raw.mp4,0.5124,tv,YOLO_ONLY,N/A,0,0.3000
11,custom,trial_x_0.58_raw.mp4,0.4990,tv,YOLO_ONLY,N/A,0,0.2727
12,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2500
13,custom,trial_x_0.58_raw.mp4,0.7258,tv;chair,YOLO_ONLY,N/A,0,0.2308
14,custom,trial_x_0.58_raw.mp4,0.7279,tv,YOLO_ONLY,N/A,0,0.2143
15,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2000
16,custom,trial_x_0.58_raw.mp4,0.4744,tv;toilet,YOLO_ONLY,N/A,0,0.1875
17,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1765
18,custom,trial_x_0.58_raw.mp4,0.2811,bottle,VLM_TRIGGERED,PENDING...,0,0.1667
18,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a whiteboard on the wall; which has some writing on it. There is a black circular object in the center of the image; which is likely a camera artifact simulating AMD. The floor appears to be a standard whiteboard surface; and there is a clear path leading to the whiteboard. There are no visible obstacles or hazards in the immediate area of the camera artifact.,4459.8,0.2222
19,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2105
20,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2000
21,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1905
22,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1818
23,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1739
24,custom,trial_x_0.58_raw.mp4,0.3146,toilet;sink,VLM_TRIGGERED,PENDING...,0,0.1667
24,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a whiteboard that has various writings and drawings; but the focus is on the floor and path. There are no immediate obstacles or hazards visible in the clear areas of the image. The black blurry circle in the center is a camera artifact simulating AMD; and it should be ignored. The floor appears to be a standard whiteboard surface; and the path is clear; with no visible debris or obstructions.,4715.3,0.2083
25,custom,trial_x_0.58_raw.mp4,0.3753,toilet;toilet,YOLO_ONLY,N/A,0,0.2000
26,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1923
27,custom,trial_x_0.58_raw.mp4,0.5520,toilet,YOLO_ONLY,N/A,0,0.1852
28,custom,trial_x_0.58_raw.mp4,0.4061,toilet,YOLO_ONLY,N/A,0,0.1786
29,custom,trial_x_0.58_raw.mp4,0.2869,toilet,VLM_TRIGGERED,PENDING...,0,0.1724
29,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a clear floor and a path leading to a dark area; which could be a door or a window. There are no visible obstacles or hazards in the immediate area that can be discerned from this image. The black blurry circle in the center is likely a camera artifact and should not be considered as an obstacle or hazard.,4248.1,0.2069
30,custom,trial_x_0.58_raw.mp4,0.2969,sink,VLM_TRIGGERED,PENDING...,0,0.2000
30,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a clear floor and a path leading to a door. There are no visible obstacles or hazards in the immediate area captured in the photograph. The focus is on the floor and the path; which appear to be well-maintained and free of debris or obstructions. The camera artifact simulating AMD is noted but not considered in the description of the room's features.,4445.5,0.2333
31,custom,trial_x_0.58_raw.mp4,0.3014,sink,VLM_TRIGGERED,PENDING...,0,0.2258
31,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a clear floor and a path leading to a dark area. The path is marked by a blue object; which appears to be a piece of cloth or a towel. There are no visible obstacles or hazards in the immediate area of the path. The black blurry circle in the center is a camera artifact and should be ignored. The focus should be on the clear areas of the image; which include the floor and the path leading to the dark area.,4865.9,0.2581
32,custom,trial_x_0.58_raw.mp4,0.3132,sink,VLM_TRIGGERED,PENDING...,0,0.2500
32,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a clear floor and a path leading to a dark area. The path is well-defined and appears to be made of a smooth material; possibly concrete or polished stone. There are no immediate obstacles or hazards visible in the clear areas of the image. The dark area could be a shadow or a darker section of the room; but it does not present any visible hazards. The focus should be on the clear floor and path; as they are the main subjects of the image.,4995.2,0.2812
33,custom,trial_x_0.58_raw.mp4,0.2976,sink,VLM_TRIGGERED,PENDING...,0,0.2727
33,custom,trial_x_0.58_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a room with a whiteboard that has been marked with red and black writing; which includes what appears to be a diagram or a flowchart. There is a blue object on the whiteboard; which could be a marker or a piece of paper. The floor is not clearly visible due to the angle and the camera artifact; but it seems to be a standard indoor flooring. There are no immediate obstacles or hazards visible in the image; but the camera artifact obscures a clear view of the floor and path.,5061.1,0.3030
34,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2941
35,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2857
36,custom,trial_x_0.58_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2778
37,custom,trial_x_0.58_raw.mp4,0.2946,sink,VLM_TRIGGERED,PENDING...,0,0.2703
