frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.615_raw.mp4,0.2603,tv,VLM_TRIGGERED,PENDING...,0,0.0000
1,custom,trial_x_0.615_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image presents a room with a clear floor and a path leading towards a desk. The desk is cluttered with various items; including papers and a red object that could be a book or a container. The walls are painted in a muted green color; and there is a window with blinds partially drawn; allowing some light to filter into the room. The overall atmosphere of the room is dim and somewhat eerie; with the black blurry outer rim of the video simulating a camera defect simulating glaucoma. There are no immediate obstacles or hazards visible in the image; but the cluttered desk and the dim lighting could potentially pose a risk of tripping or falling.,6324.8,1.0000
2,custom,trial_x_0.615_raw.mp4,0.4895,tv,VLM_TRIGGERED,PENDING...,0,0.5000
2,custom,trial_x_0.615_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image does not provide a clear view of the floor or path due to the black blurry outer rim; which is a camera defect simulating glaucoma. Therefore; it is not possible to identify any obstacles or hazards in the room based on this image.,3911.1,1.0000
3,custom,trial_x_0.615_raw.mp4,0.4650,tv,VLM_TRIGGERED,PENDING...,0,0.6667
3,custom,trial_x_0.615_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image does not provide a clear view of the floor or path due to the black blurry outer rim; which is a camera defect simulating glaucoma. Therefore; it is not possible to identify any obstacles or hazards in the room based on this image.,3896.5,1.0000
4,custom,trial_x_0.615_raw.mp4,0.4858,tv,VLM_TRIGGERED,PENDING...,0,0.7500
4,custom,trial_x_0.615_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image does not provide a clear view of the floor or path due to the black blurry outer rim; which is a camera defect simulating glaucoma. Therefore; it is not possible to identify any obstacles or hazards in the room based on this image.,3898.6,1.0000
5,custom,trial_x_0.615_raw.mp4,0.4996,tv,VLM_TRIGGERED,PENDING...,0,0.8000
5,custom,trial_x_0.615_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The image does not provide a clear view of the floor or path due to the black blurry outer rim; which is a camera defect simulating glaucoma. Therefore; it is not possible to identify any obstacles or hazards in the room based on this image.,3881.5,1.0000
6,custom,trial_x_0.615_raw.mp4,0.5176,tv,YOLO_ONLY,N/A,0,0.8333
